"label","id","group"
"COLECTIVO SOBERANIA Y NATURALEZA, COORDINADORA NACIONAL MINERO ENERGETICA",245,"ADVOCACY"
"COLEGIO DE ABOGADOS COMERCIALISTAS",145,"LABOR"
"COLEGIO DE ABOGADOS COMERCIALISTAS DE BOGOTA",191,"LABOR"
"COLEGIO DE ABOGADOS PENALISTAS DE BOGOTA Y CUNDINAMARCA",120,"LABOR"
"COLEGIO DE ABOGADOS ROSARISTAS",121,"LABOR"
"COMISION COLOMBIANA DE JURISPRUDENCIA",109,"ADVOCACY"
"COMISION COLOMBIANA DE JURISTAS",20,"ADVOCACY"
"COMISION COLOMBIANA DE JURISTAS, MOVIMIENTO HOLANDES PAX",230,"ADVOCACY"
"COMISION INTERECLESIAL DE JUSTICIA Y PAZ",228,"ADVOCACY"
"COMITE DE APOYO LOCAL DEL PROGRAMA EMPRESARIAL DE PROMOCION LABORAL PARA PERSONAS CON DISCAPACIDAD",173,"LABOR"
"CONFEDERACION COLOMBIANA DE CAMARAS DE COMERCIO CONFECAMARAS",35,"TRADE"
"CONFEDERACION DE PENSIONADOS DE COLOMBIA",269,"LABOR"
"CONFEDERACION DE TRABAJADORES DE COLOMBIA",277,"LABOR"
"CONFEDERACION DEMOCRATICA DE PENSIONADOS",287,"LABOR"
"CONFEDERACION GENERAL DEL TRABAJO",142,"LABOR"
"CONSEJO NACIONAL DE LAICOS DE COLOMBIA",112,"ADVOCACY"
"CONSEJO NACIONAL PROFESIONAL DE ECONOMIA",205,"LABOR"
"CONSUELO MONTES Y OTROS",55,"INDIVIDUAL"
"CONSULTORIA PARA LOS DERECHOS HUMANOS Y EL DESPLAZAMIENTO",259,"ADVOCACY"
"CONSULTORIA PARA LOS DERECHOS HUMANOS, COMISION DE SEGUIMINETO A LA POLITICA PUBLICA SOBRE DESPLAZAMIENTO FORZADO EN COLOMBIA, CONFERENCIA NACIONAL DE ORGANIZACIONES AFRODESCENDIENTES",229,"ADVOCACY"
"COORDINADORA LATINOAMERICANA DE GRAIN INTERNACIONAL",255,"ADVOCACY"
"COORDINADORA LATINOAMERICANA DE ORGANIZACIONES DEL CAMPO",243,"ADVOCACY"
"CORPORACION COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO",5,"ADVOCACY"
"CORPORACION DERECHOS PARA LA PAZ PROYECTO PLANETA PAZ",249,"ADVOCACY"
"CORPORACION ECCOS CONTACTO COLOMBIA",175,"ADVOCACY"
"CORPORACION GRUPO SEMILLAS",244,"ADVOCACY"
"CORPORACION JUSTICIA PENSIONAL",264,"ADVOCACY"
"CORPORACION PENSAMIENTO Y ACCION, ASOCIACION CENTRO NACIONAL DE SALUD, AMBIENTE Y TRABAJO",225,"ADVOCACY"
"CORPORACION SISMA MUJER, MESA POR LA VIDA Y SALUD DE LAS MUJERES",186,"ADVOCACY"
"CORPORACION UNIVERSITARIA REPUBLICANA",270,"UNIVERSITY"
"CUMBRE NACIONAL DE MUJERES Y PAZ",260,"ADVOCACY"
"DAIRA CRISTINA PAREDES HERNANDEZ, BYRON ALFONSO VALDIVIESO VALDIVIESO, FABIO ERNESTO PAREDES HERNANDEZ",93,"INDIVIDUAL"
"DANIEL ANDRES VARGAS QUIROGA",127,"INDIVIDUAL"
"DANIEL RENDON NERIO",170,"INDIVIDUAL"
"DARIO GONZALEZ VASQUEZ, FERNANDO MESA MORALES, JULIO GONZALEZ ZAPATA",13,"INDIVIDUAL"
"DAVID ANDRES ROMERO, MILTON GERMAN SIERRA",195,"INDIVIDUAL"
"DEJUSTICIA",202,"ADVOCACY"
"DELEGADOS ANTE EL ESPACIO NACIONAL DE CONSULTA PREVIA",258,"ADVOCACY"
"DIEGO GERMAN MEJIA LEMOS",94,"INDIVIDUAL"
"DIEGO HERNAN RODRIGUEZ",158,"INDIVIDUAL"
"DOLLY ASTRID OSPINA",60,"INDIVIDUAL"
"EDUARDO QUIJANO APONTE",180,"INDIVIDUAL"
"EDUARDO VISBAL ROBLES",267,"INDIVIDUAL"
"EMPRESA COLOMBIANA TELECOMUNICACIONES",87,"INDIVIDUAL"
"EMPRESA DE TRANSPORTE MASICO DEL VALLE DE ABURRA",14,"TRADE"
"ENRIQUE BENEDETTI CHARRY",276,"INDIVIDUAL"
"ENRIQUE JOSE ARBOLEDA",220,"INDIVIDUAL"
"FABIO MORON DIAZ, ANTONIO BARRERA CARBONELL",88,"INDIVIDUAL"
"FASECOLDA",140,"TRADE"
"FEDEMADERAS",242,"TRADE"
"FEDERACION NACIONAL DE CAFETEROS",82,"TRADE"
"FEDERACION NACIONAL DE SORDOS DE COLOMBIA Y OTROS",172,"ADVOCACY"
"FELIX FRANCISCO HOYOS LEMUS",71,"INDIVIDUAL"
"FELIX VEGA PEREZ",12,"INDIVIDUAL"
"FIAN COLOMBIA",247,"ADVOCACY"
"FONDO DE GARANTIAS DE ENTIDADES COOPERATIVAS",106,"TRADE"
"FREDDY GUTIERREZ SAJAUD",27,"INDIVIDUAL"
