amici_name,amici_type,plead
ANDRES DE ZUBIRIA SAMPER,INDIVIDUAL,UNCONSTITUTIONAL
ALFREDO CASTANO MARTINEZ,INDIVIDUAL,UNCONSTITUTIONAL
GABRIEL HOLGUIN CARRIZOSA,INDIVIDUAL,CONSTITUTIONAL
ANTONIO EDUARDO BOHORQUEZ COLLAZOS,INDIVIDUAL,UNCONSTITUTIONAL
JORGE ENRIQUE TORRES GAMEZ,INDIVIDUAL,UNCONSTITUTIONAL
ALBERTO RUEDA MONTENEGRO,INDIVIDUAL,UNCONSTITUTIONAL
FELIX FRANCISCO HOYOS LEMUS,INDIVIDUAL,INHIBITION
IGNACIO CASTILLA CASTILLA,INDIVIDUAL,INHIBITION
"COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO, ASOCIACION COLOMBIANA DE ABOGADOS DEFENSORES EDUARDO UMANA",ADVOCACY,UNCONSTITUTIONAL
RAFAEL ARCHBOLD JOSEPH,INDIVIDUAL,CONDITIONED
UNIVERSDIAD DEL ROSARIO,UNIVERSITY,UNCONSTITUTIONAL
CAMILO ALFONSO HERRERA URREGO,INDIVIDUAL,CONSTITUTIONAL
UNIVERSDIAD SANTO TOMAS,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD DEL ROSARIO,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD NACIONAL ,UNIVERSITY,CONSTITUTIONAL
"SORAYA HOWELL, HILMA YANET AGUIRRE, MERY MANTILLA, CYNTHIA LOPEZ, MONICA BARRIOS",INDIVIDUAL,CONSTITUTIONAL
AUDRIN BERMUDEZ ZEA,INDIVIDUAL,CONSTITUTIONAL
"CARLOS ALBERTO PAZ LAMIR, ARMANDO MORALES OCAMPO",INDIVIDUAL,UNCONSTITUTIONAL
FEDERACION NACIONAL DE CAFETEROS,TRADE,UNCONSTITUTIONAL
"ARTURO BESADA LOMBANA, JERSON ALVARADO MENDOZA, JOSE MIGUEL CUESTA MURGAS, MILCIADES RAMIREZ MELO, OWER JIMMY BORDA PARRA, BONIFACIO CHICUNQUE JUAJIBIOY",INDIVIDUAL,UNCONSTITUTIONAL
BLANCA ISABEL GARCIA LOPEZ,INDIVIDUAL,UNCONSTITUTIONAL
HAROLD BEDOYA PIZARRO,INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD SANTO TOMAS,UNIVERSITY,UNCONSTITUTIONAL
EMPRESA COLOMBIANA TELECOMUNICACIONES,INDIVIDUAL,CONSTITUTIONAL
"FABIO MORON DIAZ, ANTONIO BARRERA CARBONELL",INDIVIDUAL,UNCONSTITUTIONAL
JUAN MANUEL ALVAREZ ZARATE,INDIVIDUAL,CONSTITUTIONAL
OSCAR FABIAN GUTIERREZ HERRAN,INDIVIDUAL,CONSTITUTIONAL
PABLO FELIPE ROBLEDO DEL CASTILLO,INDIVIDUAL,CONSTITUTIONAL
UNIVERSIDAD DE CARTAGENA,UNIVERSITY,CONSTITUTIONAL
"DAIRA CRISTINA PAREDES HERNANDEZ, BYRON ALFONSO VALDIVIESO VALDIVIESO, FABIO ERNESTO PAREDES HERNANDEZ",INDIVIDUAL,CONDITIONED
DIEGO GERMAN MEJIA LEMOS,INDIVIDUAL,MIX (UNCONST)
CLAUDIO HENRY YAMA SANTACRUZ,INDIVIDUAL,UNCONSTITUTIONAL
NAYID ABU PAGER SAENZ,INDIVIDUAL,UNCONSTITUTIONAL
AYDA MILENA NAVIA CASTILLO,INDIVIDUAL,UNCONSTITUTIONAL
MARTHA ISABEL CARVAJAL RAMOS,INDIVIDUAL,UNCONSTITUTIONAL
ALEXANDER LOPEZ MAYA,INDIVIDUAL,UNCONSTITUTIONAL
ADOLFO LEON LOPEZ GIRALDO,INDIVIDUAL,UNCONSTITUTIONAL
JOSE ALONSO CRUZ PEREZ,INDIVIDUAL,UNCONSTITUTIONAL
JUAN CARLOS MELO,INDIVIDUAL,CONSTITUTIONAL
JORGE ENRIQUE IBANEZ NAJAR,INDIVIDUAL,CONSTITUTIONAL
KARINA MARIN FLOREZ,INDIVIDUAL,UNCONSTITUTIONAL
ASOCIACION NACIONAL DE FONDOS DE EMPLEADOS,TRADE,UNCONSTITUTIONAL
FONDO DE GARANTIAS DE ENTIDADES COOPERATIVAS,TRADE,CONSTITUTIONAL
ASOCIACION NACIONAL DE CAJAS DE COMPESACION FAMILIAR,TRADE,CONSTITUTIONAL
"FUNDACION MANUEL CEPEDA VARGAS, ASOCIACION NACIONAL DE AYUDA ANDAS, FENSUAGRO, FUNDACION COMITE DE SOLIDARIDAD CON LOS PRESOS POLITICOS, ASFADDES",ADVOCACY,UNCONSTITUTIONAL
COMISION COLOMBIANA DE JURISPRUDENCIA,ADVOCACY,UNCONSTITUTIONAL
UNIVERSIDAD EXTERNADO,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD LIBRE,UNIVERSITY,UNCONSTITUTIONAL
CONSEJO NACIONAL DE LAICOS DE COLOMBIA,ADVOCACY,INHIBITION
MARTIN ACERO SALAZAR,INDIVIDUAL,CONSTITUTIONAL
NINFA INES ANDRADE NAVARRETE,INDIVIDUAL,UNCONSTITUTIONAL
FUNDACIUDADANO,ADVOCACY,UNCONSTITUTIONAL
GUSTAVO ADOLFO JARAMILLO GARCIA,INDIVIDUAL,UNCONSTITUTIONAL
AFIN COLOMBIA,TRADE,UNCONSTITUTIONAL
JUAN JOSE RODRIGUEZ ESPITIA,INDIVIDUAL,CONSTITUTIONAL
COLECTIVO DE ABOGADOS JOSE ALVEAR RESTREPO,ADVOCACY,CONDITIONED
COLEGIO DE ABOGADOS PENALISTAS DE BOGOTA Y CUNDINAMARCA,LABOR,CONSTITUTIONAL
COLEGIO DE ABOGADOS ROSARISTAS,LABOR,CONSTITUTIONAL
CARLOS ANDRESS TELLEZ,INDIVIDUAL,UNCONSTITUTIONAL
CENTRAL UNITARIA DE TRABAJADORES,LABOR,UNCONSTITUTIONAL
ASOFONDOS,TRADE,CONSTITUTIONAL
ASOCIACION COLOMBIANA DE CORREDORES DE SEGUROS,LABOR,CONSTITUTIONAL
UNIVERSIDAD DE LOS ANDES,UNIVERSITY,CONSTITUTIONAL
DANIEL ANDRES VARGAS QUIROGA,INDIVIDUAL,CONDITIONED
UNIVERSDIAD JAVERIANA,UNIVERSITY,MIX (UNCONST)
ASOCIACION COLOMBIANA DE EMPRESAS DE MEDICINA INTEGRAL,TRADE,CONSTITUTIONAL
MISION DE OBSERVACION ELECTORAL,THINK,UNCONSTITUTIONAL
UNIVERSIDAD ICESI ,UNIVERSITY,CONDITIONED
JOSE GABRIEL MESA,INDIVIDUAL,CONSTITUTIONAL
MARIA CONSUELO GONZALEZ,INDIVIDUAL,UNCONSTITUTIONAL
GIOVANNI GUTIERREZ GOMEZ,INDIVIDUAL,CONSTITUTIONAL
COMISION COLOMBIANA DE JURISTAS ,ADVOCACY,CONSTITUTIONAL
GRUPO ASESOR DE DERECHO INTERNACIONAL PUBLICO ,THINK,INHIBITION
ASOCIACION NACIONAL DE RECICLADORES,LABOR,UNCONSTITUTIONAL
FUNDACION PARA LA CONSTRUCCION CIVICO-SOLIDARIA DE UN CAMBIO SISTEMICO,ADVOCACY,UNCONSTITUTIONAL
PAULA TORRES HOLGUIN,INDIVIDUAL,UNCONSTITUTIONAL
COALICION CONTRA LA VINCULACION DE NINOS NINAS Y JOVENES AL CONFLICTO ARMADO EN COLOMBIA ,ADVOCACY,CONDITIONED
FASECOLDA,TRADE,CONSTITUTIONAL
CENTRAL DE TRABAJADORES DE COLOMBIA,LABOR,UNCONSTITUTIONAL
CONFEDERACION GENERAL DEL TRABAJO ,LABOR,UNCONSTITUTIONAL
UNIVERSIDAD AUTONOMA DE BUCARAMANGA ,UNIVERSITY,CONSTITUTIONAL
ASOCIACION DE LAS MICRO PEQUENAS Y MEDIANAS EMPRESAS,TRADE,CONSTITUTIONAL
COLEGIO DE ABOGADOS COMERCIALISTAS,LABOR,CONSTITUTIONAL
SILVIA ISABEL REYES CEPEDA Y OTROS,INDIVIDUAL,CONSTITUTIONAL
ORGANIZACION MESA POR LA VIDA Y SALUD DE LAS MUJERES,ADVOCACY,CONSTITUTIONAL
CENTRO DE DERECHOS HUMANOS Y LITIGIO INTERNACIONAL ,ADVOCACY,CONSTITUTIONAL
JAIME ARDILA SALCEDO,INDIVIDUAL,CONSTITUTIONAL
UNIVERSIDAD DE ANTIOQUIA ,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD JAVERIANA ,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD DEL ROSARIO ,UNIVERSITY,CONSTITUTIONAL
HERNAN ANDRES ROJAS ,INDIVIDUAL,UNCONSTITUTIONAL
HECTOR IVAN SANCHEZ,INDIVIDUAL,UNCONSTITUTIONAL
ANGELICA JARAMILLO RIVERA,INDIVIDUAL,UNCONSTITUTIONAL
FUNDACION UNIVERSITARIA DEL AREA ANDINA,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD DE IBAGUE,UNIVERSITY,CONSTITUTIONAL
"JOSE MIGUEL COPETE, MANUEL ERNESTO CATANEDA",INDIVIDUAL,UNCONSTITUTIONAL
DIEGO HERNAN RODRIGUEZ,INDIVIDUAL,UNCONSTITUTIONAL
"LUZ ANDREA MENDIETA, LAURA MARCELA QUINCHANEGUA",INDIVIDUAL,CONSTITUTIONAL
JAVIER CALDERON BARON,INDIVIDUAL,CONSTITUTIONAL
LUDER ENRIQUE JEREZ,INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD DE ANTIOQUIA,UNIVERSITY,UNCONSTITUTIONAL
JORGE ENRIQUE GARCIA Y OTROS,INDIVIDUAL,UNCONSTITUTIONAL
JOSE VICENTE ZAPATA LUGO ,INDIVIDUAL,UNCONSTITUTIONAL
JOSE LUIS SUAREZ CAVELIER,INDIVIDUAL,UNCONSTITUTIONAL
JORGE ENRIQUE ROBLEDO,INDIVIDUAL,UNCONSTITUTIONAL
UNION SINDICAL OBRERA,LABOR,UNCONSTITUTIONAL
MIGUEL ANGEL ENCISO,INDIVIDUAL,UNCONSTITUTIONAL
ARMANDO LOPEZ CORTES,INDIVIDUAL,INHIBITION
JANPOR ELIECER CHAVEZ,INDIVIDUAL,UNCONSTITUTIONAL
DANIEL RENDON NERIO,INDIVIDUAL,UNCONSTITUTIONAL
RAUL TRUJILLO,INDIVIDUAL,UNCONSTITUTIONAL
FEDERACION NACIONAL DE SORDOS DE COLOMBIA Y OTROS,ADVOCACY,CONSTITUTIONAL
COMITE DE APOYO LOCAL DEL PROGRAMA EMPRESARIAL DE PROMOCION LABORAL PARA PERSONAS CON DISCAPACIDAD,LABOR,CONSTITUTIONAL
BEST BUDDIES COLOMBIA,ADVOCACY,CONSTITUTIONAL
CORPORACION ECCOS CONTACTO COLOMBIA,ADVOCACY,CONSTITUTIONAL
PAIIS,ADVOCACY,UNCONSTITUTIONAL
UNIVERSIDAD JAVERIANA,UNIVERSITY,CONSTITUTIONAL
OSCAR DAVID GOMEZ,INDIVIDUAL,CONSTITUTIONAL
HENRY SANABRIA ,INDIVIDUAL,CONSTITUTIONAL
ROSALBA SANTOS MONTANA,INDIVIDUAL,UNCONSTITUTIONAL
EDUARDO QUIJANO APONTE,INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD DEL SINU,UNIVERSITY,INHIBITION
UNIVERSIDAD SERGIO ARBOLEDA,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD EXTERNADO ,UNIVERSITY,UNCONSTITUTIONAL
LUIS FERIA,INDIVIDUAL,UNCONSTITUTIONAL
MONICA CONSUELO DELGADO,INDIVIDUAL,INHIBITION
CASA DE LA MUJER,ADVOCACY,CONSTITUTIONAL
"CORPORACION SISMA MUJER, MESA POR LA VIDA Y SALUD DE LAS MUJERES",ADVOCACY,CONSTITUTIONAL
ANGELA VIVIANA ESTEBAN Y OTROS,INDIVIDUAL,CONSTITUTIONAL
JAIRO ANDRES RINCON BOJACA,INDIVIDUAL,UNCONSTITUTIONAL
"CENTRAL UNITARIA DE TRABAJADORES, CONFEDERACION DE TRABAJADORES DE COLOMBIA",LABOR,UNCONSTITUTIONAL
CONFEDERACION GENERAL DEL TRABAJO,LABOR,UNCONSTITUTIONAL
CAMARA DE COMERCIO DE BOGOTA,TRADE,CONSTITUTIONAL
COLEGIO DE ABOGADOS COMERCIALISTAS DE BOGOTA,LABOR,INHIBITION
UNIVERSIDAD DE CALDAS,UNIVERSITY,INHIBITION
"NATALY JULIETH MERCHAN, JAVIER ORLANDO PAEZ",INDIVIDUAL,CONSTITUTIONAL
"MARCEL FERNANDO VARGAS, HUBER VIVALDI RODRIGUEZ",INDIVIDUAL,CONSTITUTIONAL
"DAVID ANDRES ROMERO, MILTON GERMAN SIERRA",INDIVIDUAL,CONSTITUTIONAL
"CLAUDIA EDITH VELANDIA, XAVIER ALARCON",INDIVIDUAL,CONSTITUTIONAL
"MARTHA LILIANA ROJAS, NORMA CARDENAS",INDIVIDUAL,INHIBITION
"ADRIANA MIREYA MENDOZA, SERGIO NICOLAS SIERRA",INDIVIDUAL,INHIBITION
"GERMAN ALEXANDER PELAEZ, DIEGO FERNANDO MORA",INDIVIDUAL,CONSTITUTIONAL
ASOCIACION HORTIFRUTICULA DE COLOMBIA,TRADE,CONSTITUTIONAL
SOCIEDAD DE AGRICULTORES DE COLOMBIA,TRADE,INHIBITION
DEJUSTICIA,ADVOCACY,CONSTITUTIONAL
JUAN MANUEL CHARRIA,INDIVIDUAL,UNCONSTITUTIONAL
JUAN CARLOS VELEZ URIBE,INDIVIDUAL ,UNCONSTITUTIONAL
CONSEJO NACIONAL PROFESIONAL DE ECONOMIA,LABOR,UNCONSTITUTIONAL
JOSE IGNACIO GONZALEZ BUITRAGO,INDIVIDUAL,UNCONSTITUTIONAL
MONICA RANGEL CUBIDES ,INDIVIDUAL,UNCONSTITUTIONAL
JAVERIANA DE CALI,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD CATOLICA,UNIVERSITY,UNCONSTITUTIONAL
"GEOMACLE TORRES, EDWIN ORLANDO RODRIGUEZ",INDIVIDUAL,UNCONSTITUTIONAL
HENRY SANABRIA SANTOS,INDIVIDUAL,INHIBITION
UNIVERSIDAD DE LA SABANA,UNIVERSITY,INHIBITION
GYNNA VANESSA RODRIGUEZ,INDIVIDUAL,CONSTITUTIONAL
"JULIANA SALONIA, MARCELA PERNA",INDIVIDUAL,UNCONSTITUTIONAL
"GABRIELA PATRICIA PARRA ROA, LUISA MORENO FRANCO, FELIPE NOVOA DELGADO",INDIVIDUAL,UNCONSTITUTIONAL
UNIVERSIDAD EAFIT,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD INDUSTRIAL DE SANTANDER,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD DEL ATLANTICO,UNIVERSITY,UNCONSTITUTIONAL
YEINI SULAIDI SILVA ,INDIVIDUAL,INHIBITION
JESUS ANIBAL ACUNA Y OTROS,INDIVIDUAL,UNCONSTITUTIONAL
ENRIQUE JOSE ARBOLEDA,INDIVIDUAL,CONSTITUTIONAL
CENTRO DE ARBITRAJE Y CONCILIACION DE LA CAMARA DE COMERCIO DE BOGOTA,TRADE,CONSTITUTIONAL
CENTRO DE ARBITRAJE Y CONCILIACION DE LA CAMARA DE COMERCIO DE MEDELLIN,TRADE,CONSTITUTIONAL
RAMIRO CUBILLOS VELANDIA,INDIVIDUAL,UNCONSTITUTIONAL
ASOCIACION COLOMBIANA DE MINERIA,TRADE,CONSTITUTIONAL
"CORPORACION PENSAMIENTO Y ACCION, ASOCIACION CENTRO NACIONAL DE SALUD, AMBIENTE Y TRABAJO",ADVOCACY,UNCONSTITUTIONAL
CLAUDIA LOPEZ,INDIVIDUAL,UNCONSTITUTIONAL
"ALIRIO URIBE, ALBERTO CASTILLA, IVAN CEPEDA",INDIVIDUAL,UNCONSTITUTIONAL
COMISION INTERECLESIAL DE JUSTICIA Y PAZ,ADVOCACY,UNCONSTITUTIONAL
"CONSULTORIA PARA LOS DERECHOS HUMANOS, COMISION DE SEGUIMINETO A LA POLITICA PUBLICA SOBRE DESPLAZAMIENTO FORZADO EN COLOMBIA, CONFERENCIA NACIONAL DE ORGANIZACIONES AFRODESCENDIENTES",ADVOCACY,UNCONSTITUTIONAL
"COMISION COLOMBIANA DE JURISTAS, MOVIMIENTO HOLANDES PAX",ADVOCACY,UNCONSTITUTIONAL
UNIVERSIDAD DEL BOSQUE,UNIVERSITY,CONSTITUTIONAL
UNIVERSIDAD DE LA SALLE,UNIVERSITY,UNCONSTITUTIONAL
"FUNDACION INSTITUTO MAYOR CAMPESINO, CORPORACION PARA EL DESARROLLO SUSTENTABLE, ASOCIACION RED COLOMBIANA DE AGRICULTURA BIOLOGICA, PASTROAL SOCIAL REGIONAL SURORIENTE COLOMBIANO, CINTURON OCCIDENTAL AMBIENTAL, CAMPANA EN DEFENSA DEL AGUA Y TERRITORIO EN LA REGION DE SUMAPAZ: AGUA SI PETROLEO NO, ASOCIACION DEFENSORES DEL TERRITORIO AMBIENTAL",ADVOCACY,UNCONSTITUTIONAL
ASOCIACION CONSEJO REGIONAL DEL PUEBLO NASA DEL PUTUMAYO,ADVOCACY,UNCONSTITUTIONAL
ORGANIZACION NACIONAL INDIGENA DE COLOMBIA,ADVOCACY,UNCONSTITUTIONAL
FUNDACION PARA LA DEFENSA DE LOS DERECHOS HUMANOS Y EL DIH DEL ORIENTE Y CENTRO DE COLOMBIA,ADVOCACY,UNCONSTITUTIONAL
COLECTIVA AGRARIA ABYA AYALA,ADVOCACY,UNCONSTITUTIONAL
CENTRO DE ESTUDIOS PARA LA JUSTICIA SOCIAL TIERRA DIGNA,ADVOCACY,UNCONSTITUTIONAL
CENTRO DE ESTUDIOS Y GESTION DE DERECHOS PARA LA JUSTICIA ESPACIAL ,ADVOCACY,UNCONSTITUTIONAL
CENTRO INTERNACIONAL DE TOLEDO PARA LA PAZ,ADVOCACY,UNCONSTITUTIONAL
"ASOCIACION COLECTIVO DERECHOS, DIVERSIDAD Y SELVAS",ADVOCACY,UNCONSTITUTIONAL
FEDEMADERAS,TRADE,CONSTITUTIONAL
COORDINADORA LATINOAMERICANA DE ORGANIZACIONES DEL CAMPO,ADVOCACY,UNCONSTITUTIONAL
CORPORACION GRUPO SEMILLAS,ADVOCACY,UNCONSTITUTIONAL
"COLECTIVO SOBERANIA Y NATURALEZA, COORDINADORA NACIONAL MINERO ENERGETICA",ADVOCACY,UNCONSTITUTIONAL
CINEP,ADVOCACY,UNCONSTITUTIONAL
FIAN COLOMBIA,ADVOCACY,UNCONSTITUTIONAL
ASOCIACION EMPRESARIAL PARA EL DESARROLLO DE LA ORINOQUIA,TRADE,CONSTITUTIONAL
CORPORACION DERECHOS PARA LA PAZ PROYECTO PLANETA PAZ,ADVOCACY,UNCONSTITUTIONAL
OXFAM,ADVOCACY,UNCONSTITUTIONAL
ASOCIACION NACIONAL DE ZONAS DE RESERVA CAMPESINA,ADVOCACY,UNCONSTITUTIONAL
SOCIEDAD DE AGRICULTURES DE COLOMBIA Y 1747 CIUDADANOS,ADVOCACY,CONSTITUTIONAL
NICOLAS GARAVITO Y OTROS (5097),INDIVIDUAL,UNCONSTITUTIONAL
LAURA ROCIO BELTRAN SANCHEZ Y OTROS (12),INDIVIDUAL,UNCONSTITUTIONAL
COORDINADORA LATINOAMERICANA DE GRAIN INTERNACIONAL,ADVOCACY,UNCONSTITUTIONAL
PAOLA SOFIA CAMARGO Y OTROS ,INDIVIDUAL,CONSTITUTIONAL
AUTORIDADES TRADICIONALES INDIGENAS DE COLOMBIA,ADVOCACY,CONDITIONED
DELEGADOS ANTE EL ESPACIO NACIONAL DE CONSULTA PREVIA,ADVOCACY,UNCONSTITUTIONAL
CONSULTORIA PARA LOS DERECHOS HUMANOS Y EL DESPLAZAMIENTO,ADVOCACY,MIX (UNCONST)
CUMBRE NACIONAL DE MUJERES Y PAZ,ADVOCACY,CONSTITUTIONAL
JAIRO ANDRES RIVERA HENKER,INDIVIDUAL,CONSTITUTIONAL
ASOCIACION COLOMBIANA DE UNIVERSIDADES,UNIVERSITY,UNCONSTITUTIONAL
UNIVERSIDAD MILITAR NUEVA GRANADA,UNIVERSITY,CONSTITUTIONAL
CORPORACION JUSTICIA PENSIONAL ,ADVOCACY,UNCONSTITUTIONAL
JUAN DIEGO BUITRAGO,INDIVIDUAL,CONSTITUTIONAL
SINDICATO NACIONAL DE LA SALUD Y LA SEGURIDAD SOCIAL,LABOR,CONSTITUTIONAL
EDUARDO VISBAL ROBLES,INDIVIDUAL,CONSTITUTIONAL
ASOCIACION DE DOCENTES PENSIONADOS DE CERETE,LABOR,CONSTITUTIONAL
CONFEDERACION DE PENSIONADOS DE COLOMBIA,LABOR,CONSTITUTIONAL
CORPORACION UNIVERSITARIA REPUBLICANA,UNIVERSITY,CONSTITUTIONAL
UNION NACIONAL DE PENSIONADOS PUBLICOS DE COLOMBIA,LABOR,CONSTITUTIONAL
"RAUL ENRIQUE SALAZAR HURTADO, YOLANDA SOFIA HURTADO, BELARMINO IBANEZ, ORLANDO PERTUZ, DOMINGO RAMON YEPES",INDIVIDUAL,CONSTITUTIONAL
SINDICATO NACIONAL DE TRABAJADORES DEL INSTITUTO DE SEGUROS SOCIALES,LABOR,CONSTITUTIONAL
MYRIAM ANDRADE,INDIVIDUAL,CONSTITUTIONAL
