amici_name,amici_type,plead
JOSE GREGORIO HERNANDEZ GALINDO,INDIVIDUAL,CONSTITUTIONAL
ENRIQUE BENEDETTI CHARRY,INDIVIDUAL,CONSTITUTIONAL
CONFEDERACION DE TRABAJADORES DE COLOMBIA,LABOR,CONSTITUTIONAL
"JUAN JOSE ARISTIZABAL LOPEZ, SERGIO BENAVIDES ESCOBAR",INDIVIDUAL,UNCONSTITUTIONAL
VARIOS CIUDADANOS (493),INDIVIDUAL,CONSTITUTIONAL
GERARDO BONILLA ,INDIVIDUAL,CONSTITUTIONAL
ASOCIACION DE MAESTROS JUBILADOS DEL CAUCA,LABOR,CONSTITUTIONAL
"ALCIDES CANTILLO FLOREZ, CESAR AUGUSTO GIRALDO",INDIVIDUAL,CONSTITUTIONAL
RED DE PENSIONADOS,LABOR,CONSTITUTIONAL
YOLANDA SALGADO BLANCO,INDIVIDUAL,CONSTITUTIONAL
JOSE MACARIO GARCIA,INDIVIDUAL,CONSTITUTIONAL
MARIO HERRERA VELEZ,INDIVIDUAL,CONSTITUTIONAL
CONFEDERACION DEMOCRATICA DE PENSIONADOS,LABOR,CONSTITUTIONAL
UNIVERSIDAD JAVERIANA DE CALI,UNIVERSITY,CONSTITUTIONAL
NELSON ENRIQUE RUEDA RODRIGUEZ,INDIVIDUAL,UNCONSTITUTIONAL
